Label	Id	FunctionName	obs_n	perm_mean_n	enrich(log2)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
0.5%	hsa05163	['Human cytomegalovirus infection']	19	11.07646000	0.77850254	0.01000990	0.11864765	0.43385773	0.99554004	0.42134190	0.99997000	['AKAP13', 'AKT2', 'CDK4', 'CHUK', 'EGFR', 'GNAO1', 'ITPR2', 'NFATC3', 'NFKB1', 'PDIA3', 'PPP3CB', 'PTGER2', 'PTGER4', 'PXN', 'RAC1', 'RELA', 'RPS6KB1', 'SP1', 'SRC']
0.5%	hsa04660	['T cell receptor signaling pathway']	12	5.93476000	1.01577281	0.01003990	0.11864765	0.43385773	0.99670003	0.42134190	0.99997000	['AKT2', 'CD28', 'CDK4', 'CHUK', 'CTLA4', 'ICOS', 'NCK1', 'NFATC3', 'NFKB1', 'PPP3CB', 'RELA', 'VAV2']
0.1%	hsa03460	['Fanconi anemia pathway']	3	0.46280000	2.69650173	0.01018990	0.11864765	0.43385773	0.99896001	0.42134190	0.99997000	['POLH', 'REV1', 'TOP3A']
0.1%	hsa03013	['RNA transport']	4	0.85086000	2.23300632	0.01025990	0.11864765	0.43385773	0.99848002	0.42134190	0.99997000	['EIF5B', 'NUP155', 'XPO1', 'XPO5']
0.5%	hsa00340	['Histidine metabolism']	3	0.48025000	2.64310498	0.01062989	0.11864765	0.43385773	0.99924001	0.42134190	0.99997000	['ALDH2', 'ALDH3A1', 'ALDH3A2']
0.5%	hsa03029	['Mitochondrial biogenesis']	21	12.64931000	0.73133064	0.01084989	0.11864765	0.43385773	0.99477005	0.42134190	0.99997000	['C12orf65', 'COX14', 'DARS2', 'DNAJA2', 'ERAL1', 'GATB', 'MCU', 'MRPL37', 'MRPS16', 'MSS51', 'MTIF2', 'NAA25', 'NDUFAF7', 'PRKAA2', 'RNF41', 'SFXN2', 'SNX25', 'SP1', 'SUMO1', 'TSFM', 'ULK2']
0.1%	hsa03016	['Transfer RNA biogenesis']	5	1.37163000	1.86603673	0.01118989	0.11864765	0.43385773	0.99801002	0.42134190	0.99997000	['AIMP2', 'DARS2', 'PUS10', 'XPO1', 'XPO5']
0.5%	hsa03041	['Spliceosome']	19	11.16526000	0.76698257	0.01155988	0.11864765	0.43385773	0.99422006	0.42134190	0.99997000	['AAR2', 'CBX3', 'CWC27', 'DDX23', 'DHX38', 'KHDRBS1', 'MFAP1', 'PAXBP1', 'PCBP2', 'PPP1CC', 'PRPF39', 'PTBP2', 'RBFOX1', 'SF3A3', 'SF3B4', 'SRPK2', 'SRSF7', 'SYNCRIP', 'ZC3H18']
0.5%	hsa05162	['Measles']	9	3.80793000	1.24091804	0.01164988	0.11864765	0.43385773	0.99662003	0.42134190	0.99997000	['AKT2', 'BBC3', 'CD28', 'CDK4', 'CHUK', 'IL12A', 'NFKB1', 'RELA', 'TAB2']
0.5%	hsa05212	['Pancreatic cancer']	9	3.90674000	1.20395976	0.01222988	0.11864765	0.44027560	0.99632004	0.42134190	0.99997000	['AKT2', 'CDK4', 'CHUK', 'EGFR', 'ERBB2', 'NFKB1', 'RAC1', 'RELA', 'RPS6KB1']
0.5%	hsa00970	['Aminoacyl-tRNA biosynthesis']	6	2.10098000	1.51390007	0.01265987	0.11864765	0.44105365	0.99712003	0.42134190	0.99997000	['AARS2', 'DARS2', 'FARSA', 'GATB', 'IARS', 'WARS']
0.5%	hsa04121	['Ubiquitin system']	46	33.74768000	0.44684553	0.01492985	0.11864765	0.49646776	0.99055009	0.42134190	0.99997000	['ANAPC7', 'ARIH1', 'BARD1', 'BIRC6', 'BRAP', 'COPS2', 'COPS3', 'CUL2', 'DCAF4', 'DZIP3', 'ERLIN1', 'FBXL15', 'FBXL18', 'FBXL20', 'FBXW10', 'FZR1', 'GID4', 'HECTD4', 'HERC4', 'KCTD13', 'KLHL14', 'KLHL24', 'KLHL28', 'KLHL32', 'KLHL8', 'MGRN1', 'PHIP', 'RANBP9', 'RC3H1', 'RNF170', 'RNF185', 'RNF40', 'RNF41', 'SAE1', 'SPOP', 'SUMO1', 'TRIM23', 'TRIP12', 'UBE2H', 'UCHL5', 'USP15', 'USP33', 'USP34', 'USP42', 'USP48', 'ZBTB37']
0.5%	hsa00010	['Glycolysis / Gluconeogenesis']	5	1.47833000	1.75795974	0.01516985	0.11864765	0.49646776	0.99679003	0.42134190	0.99997000	['ALDH2', 'ALDH3A1', 'ALDH3A2', 'ALDOC', 'GALM']
0.5%	hsa03440	['Homologous recombination']	5	1.55954000	1.68080754	0.01656983	0.11864765	0.50704108	0.99649004	0.42134190	0.99997000	['BARD1', 'BLM', 'BRIP1', 'RAD51C', 'TOP3A']
0.5%	hsa04625	['C-type lectin receptor signaling pathway']	9	4.21091000	1.09579296	0.01724983	0.11864765	0.50704108	0.99458005	0.42134190	0.99997000	['AKT2', 'CHUK', 'IL12A', 'ITPR2', 'NFATC3', 'NFKB1', 'PPP3CB', 'RELA', 'SRC']
0.1%	hsa04672	['Intestinal immune network for IgA production']	2	0.20212000	3.30671601	0.01771982	0.11864765	0.50704108	0.99894001	0.42134190	0.99997000	['CD28', 'ITGB7']
0.1%	hsa03040	['Spliceosome']	3	0.54999000	2.44748521	0.01788982	0.11864765	0.50704108	0.99785002	0.42134190	0.99997000	['DDX23', 'DHX38', 'SF3B4']
0.05%	hsa03036	['Chromosome and associated proteins']	13	6.78779000	0.93749779	0.01815982	0.11864765	0.50704108	0.99227008	0.42134190	0.99997000	['ANAPC7', 'C5orf42', 'CENPL', 'IFT81', 'KMT2D', 'KMT5A', 'KPNA6', 'MCRS1', 'SRCAP', 'TCTN1', 'TRIP4', 'TUBA1A', 'XPO1']
0.5%	hsa00053	['Ascorbate and aldarate metabolism']	2	0.21562000	3.21343709	0.01830982	0.11864765	0.50704108	0.99921001	0.42134190	0.99997000	['ALDH2', 'ALDH3A2']
0.5%	hsa05235	['PD-L1 expression and PD-1 checkpoint pathway in cancer']	9	4.27888000	1.07269178	0.01953980	0.11864765	0.52445329	0.99330007	0.42134190	0.99997000	['AKT2', 'CD28', 'CHUK', 'EGFR', 'NFATC3', 'NFKB1', 'PPP3CB', 'RELA', 'RPS6KB1']
0.5%	hsa05010	['Alzheimer disease']	22	14.19101000	0.63252625	0.01990980	0.11864765	0.52445329	0.98962010	0.42134190	0.99997000	['AKT2', 'APP', 'ATP2A1', 'ATP2A2', 'ATP5G2', 'CHUK', 'DVL2', 'ITPR2', 'KLC3', 'LRP1', 'MCU', 'NDUFA11', 'NDUFB10', 'NFKB1', 'PPP3CB', 'PSMB7', 'RELA', 'TUBA1A', 'TUBA1B', 'ULK2', 'WNT1', 'WNT10B']
0.5%	hsa05168	['Herpes simplex virus 1 infection']	15	8.33793000	0.84720134	0.02149979	0.11864765	0.55285161	0.98971010	0.42134190	0.99997000	['AKT2', 'CHUK', 'EIF2B1', 'IL12A', 'NFKB1', 'PDIA3', 'PPP1CC', 'RELA', 'SRC', 'SRSF7', 'TAB2', 'ZNF141', 'ZNF200', 'ZNF689', 'ZNF764']
0.1%	hsa05320	['Autoimmune thyroid disease']	2	0.24205000	3.04662300	0.02208978	0.11864765	0.55481306	0.99866001	0.42134190	0.99997000	['CD28', 'CTLA4']
0.5%	hsa00071	['Fatty acid degradation']	4	1.10455000	1.85654127	0.02334977	0.11990871	0.56447436	0.99560004	0.42134190	0.99997000	['ALDH2', 'ALDH3A2', 'GCDH', 'HADHA']
0.5%	hsa05120	['Epithelial cell signaling in Helicobacter pylori infection']	7	2.98624000	1.22902480	0.02351976	0.11990871	0.56447436	0.99317007	0.42134190	0.99997000	['ATP6V1D', 'CHUK', 'EGFR', 'NFKB1', 'RAC1', 'RELA', 'SRC']
0.05%	hsa00053	['Ascorbate and aldarate metabolism']	1	0.02479000	5.33409792	0.02452975	0.12151022	0.57591598	0.99973000	0.42134190	0.99997000	['ALDH2']
0.5%	hsa05131	['Shigellosis']	18	11.42119000	0.65628393	0.02662973	0.13223156	0.60932991	0.98692013	0.42134190	0.99997000	['AKT2', 'CBX3', 'CHUK', 'EGFR', 'ITPR2', 'MYL9', 'NFKB1', 'PRKCE', 'PXN', 'RAC1', 'RELA', 'RPS6KA5', 'RPS6KB1', 'SEPT12', 'SRC', 'TAB2', 'UBE2V2', 'WASF2']
0.5%	hsa04530	['Tight junction']	17	10.77429000	0.65794194	0.02725973	0.13223156	0.60932991	0.98733013	0.42134190	0.99997000	['AMOTL1', 'CDK4', 'DLG2', 'ERBB2', 'LLGL1', 'MPP5', 'MYH10', 'MYL9', 'PRKAA2', 'PRKAG1', 'PRKCE', 'RAC1', 'SRC', 'SYMPK', 'TJAP1', 'TUBA1A', 'TUBA1B']
0.5%	hsa05169	['Epstein-Barr virus infection']	11	5.81935000	0.91857360	0.02807972	0.13223156	0.60932991	0.98846012	0.42134190	0.99997000	['AKT2', 'BLNK', 'CDK4', 'CHUK', 'NFKB1', 'PDIA3', 'RAC1', 'RBPJ', 'RELA', 'SIN3A', 'TAB2']
0.1%	hsa00310	['Lysine degradation']	3	0.69186000	2.11641046	0.02820972	0.13223156	0.60932991	0.99617004	0.42134190	0.99997000	['ALDH2', 'KMT2D', 'KMT5A']
0.5%	hsa03011	['Ribosome']	5	1.73231000	1.52923097	0.02932971	0.13223156	0.62109967	0.99262007	0.42134190	0.99997000	['MRPL37', 'MRPS16', 'MRPS18A', 'MRPS35', 'RPL37']
0.1%	hsa03015	['mRNA surveillance pathway']	3	0.71915000	2.06059788	0.03267967	0.14377205	0.66653673	0.99474005	0.42134190	0.99997000	['PAPOLG', 'PPP1CC', 'SYMPK']
0.05%	hsa03040	['Spliceosome']	2	0.28273000	2.82250312	0.03270967	0.14377205	0.66653673	0.99692003	0.42134190	0.99997000	['DDX23', 'SF3B4']
0.05%	hsa03016	['Transfer RNA biogenesis']	3	0.71129000	2.07645271	0.03361966	0.14377205	0.67239328	0.99434006	0.42134190	0.99997000	['DARS2', 'PUS10', 'XPO1']
0.5%	hsa05221	['Acute myeloid leukemia']	7	3.23332000	1.11433862	0.03537965	0.14855915	0.69472760	0.98898011	0.42134190	0.99997000	['AKT2', 'CHUK', 'LEF1', 'NFKB1', 'RELA', 'RPS6KB1', 'RUNX1T1']
0.5%	hsa03019	['Messenger RNA biogenesis']	22	14.81010000	0.57092214	0.03665963	0.14977071	0.70700722	0.97952020	0.42134190	0.99997000	['AAAS', 'ATXN2', 'BARD1', 'CSTF3', 'DDX60L', 'FIP1L1', 'KLC3', 'LARP4', 'NDC1', 'NUP155', 'NUP214', 'PAPOLG', 'PCBP2', 'PPP1CC', 'PYM1', 'SMG6', 'SYMPK', 'TUBA1A', 'TUBA1B', 'XPO1', 'XPO7', 'ZC3H12D']
0.5%	hsa00199	['Cytochrome P450']	4	1.31895000	1.60061013	0.03907961	0.15740942	0.74045575	0.99162008	0.42134190	0.99997000	['CYP17A1', 'CYP19A1', 'CYP4F3', 'CYP51A1']
0.1%	hsa00010	['Glycolysis / Gluconeogenesis']	2	0.33459000	2.57953377	0.04355956	0.17736690	0.81110913	0.99534005	0.42134190	0.99997000	['ALDH2', 'ALDH3A1']
0.5%	hsa04658	['Th1 and Th2 cell differentiation']	7	3.38268000	1.04918822	0.04507955	0.18197932	0.82518497	0.98492015	0.42134190	0.99997000	['CHUK', 'IL12A', 'NFATC3', 'NFKB1', 'PPP3CB', 'RBPJ', 'RELA']
0.5%	hsa03032	['DNA replication proteins']	7	3.32119000	1.07565466	0.04631954	0.18601867	0.83375166	0.98350016	0.42134190	0.99997000	['BLM', 'MCM4', 'MCM7', 'ORC4', 'PRKDC', 'SMG6', 'TOP3A']
0.1%	hsa00053	['Ascorbate and aldarate metabolism']	1	0.04893000	4.35313691	0.04782952	0.18897814	0.84121034	0.99889001	0.42134190	0.99997000	['ALDH2']
0.1%	hsa04530	['Tight junction']	6	2.69004000	1.15733488	0.04845952	0.19127226	0.84121034	0.98438016	0.42134190	0.99997000	['ERBB2', 'LLGL1', 'PRKAG1', 'SYMPK', 'TJAP1', 'TUBA1A']
0.5%	hsa03400	['DNA repair and recombination proteins']	18	11.97812000	0.58759542	0.04945951	0.19127226	0.84121034	0.97309027	0.42134190	0.99997000	['BLM', 'BRIP1', 'ERCC2', 'FANCM', 'GTF2H3', 'NEIL1', 'POLH', 'PPP4R3A', 'PPP4R4', 'PRKDC', 'RAD23A', 'RAD51C', 'RAD9B', 'REV1', 'SPG11', 'SPIDR', 'TOP3A', 'UBE2V2']
0.05%	hsa04530	['Tight junction']	4	1.40362000	1.51084759	0.04984950	0.19127226	0.84121034	0.98805012	0.42134190	0.99997000	['PRKAG1', 'SYMPK', 'TJAP1', 'TUBA1A']
0.5%	hsa01007	['Amino acid related enzymes']	6	2.81561000	1.09151499	0.05171948	0.19241159	0.85220966	0.98385016	0.42134190	0.99997000	['AARS2', 'DARS2', 'FARSA', 'GPT2', 'IARS', 'WARS']
0.05%	hsa03015	['mRNA surveillance pathway']	2	0.37370000	2.42004753	0.05207948	0.19241159	0.85220966	0.99391006	0.42134190	0.99997000	['PPP1CC', 'SYMPK']
0.5%	hsa04031	['GTP-binding proteins']	11	6.50637000	0.75757875	0.05311947	0.19241159	0.85625412	0.97601024	0.42134190	0.99997000	['ARF5', 'ARL3', 'GNAO1', 'GNAZ', 'RAB10', 'RAB2A', 'RAB34', 'RAB35', 'RAC1', 'RHEBL1', 'TRIM23']
0.05%	hsa00340	['Histidine metabolism']	1	0.05599000	4.15868701	0.05462945	0.19241159	0.86764426	0.99863001	0.42134190	0.99997000	['ALDH2']
0.5%	hsa05164	['Influenza A']	9	5.01917000	0.84247619	0.05659943	0.19478821	0.88056106	0.97675023	0.42134190	0.99997000	['AKT2', 'CDK4', 'CHUK', 'HNRNPUL1', 'IL12A', 'KPNA6', 'NFKB1', 'RELA', 'XPO1']
0.5%	hsa04672	['Intestinal immune network for IgA production']	3	0.89862000	1.73917942	0.05782942	0.19672914	0.88056106	0.98863011	0.42134190	0.99997000	['CD28', 'ICOS', 'ITGB7']
0.5%	hsa05135	['Yersinia infection']	11	6.70745000	0.71366722	0.05850941	0.19716380	0.88056106	0.97356026	0.42134190	0.99997000	['AKT2', 'CHUK', 'NFATC3', 'NFKB1', 'PXN', 'RAC1', 'RELA', 'SRC', 'TAB2', 'VAV2', 'WASF2']
0.5%	hsa00380	['Tryptophan metabolism']	4	1.50842000	1.40696182	0.05942941	0.19827806	0.88056106	0.98544015	0.42134190	0.99997000	['ALDH2', 'ALDH3A2', 'GCDH', 'HADHA']
0.1%	hsa03400	['DNA repair and recombination proteins']	6	2.78675000	1.10637892	0.05951940	0.19827806	0.88056106	0.97867021	0.42134190	0.99997000	['POLH', 'PRKDC', 'RAD23A', 'RAD9B', 'REV1', 'TOP3A']
0.5%	hsa04623	['Cytosolic DNA-sensing pathway']	3	0.91892000	1.70695133	0.06210938	0.20063811	0.90071099	0.98777012	0.42134190	0.99997000	['CHUK', 'NFKB1', 'RELA']
0.1%	hsa05410	['Hypertrophic cardiomyopathy (HCM)']	5	2.22444000	1.16848591	0.06254937	0.20066684	0.90071099	0.98184018	0.42134190	0.99997000	['ATP2A2', 'CACNA2D3', 'CACNB3', 'ITGB7', 'PRKAG1']
0.5%	hsa00330	['Arginine and proline metabolism']	3	0.93283000	1.68527641	0.06411936	0.20317136	0.91051397	0.98741013	0.42134190	0.99997000	['ALDH2', 'ALDH3A2', 'P4HA1']
0.1%	hsa05224	['Breast cancer']	4	1.51626000	1.39948284	0.06512935	0.20515043	0.91051397	0.98356016	0.42134190	0.99997000	['ERBB2', 'FGF7', 'SP1', 'WNT1']
0.5%	hsa04218	['Cellular senescence']	11	6.73009000	0.70880582	0.06575934	0.20555239	0.91051397	0.96770032	0.42134190	0.99997000	['AKT2', 'CDK4', 'HIPK3', 'ITPR2', 'MCU', 'NFATC3', 'NFKB1', 'PPP1CC', 'PPP3CB', 'RAD9B', 'RELA']
0.5%	hsa04064	['NF-kappa B signaling pathway']	7	3.74302000	0.90315217	0.06804932	0.20654181	0.92719073	0.97516025	0.42134190	0.99997000	['BLNK', 'CHUK', 'EDAR', 'ERC1', 'NFKB1', 'RELA', 'TAB2']
0.5%	hsa04622	['RIG-I-like receptor signaling pathway']	4	1.59194000	1.32921404	0.06887931	0.20654181	0.92719073	0.98165018	0.42134190	0.99997000	['CHUK', 'IL12A', 'NFKB1', 'RELA']
0.1%	hsa00410	['beta-Alanine metabolism']	2	0.45546000	2.13460374	0.06953930	0.20654181	0.92719073	0.99264007	0.42134190	0.99997000	['ALDH2', 'ALDH3A1']
0.5%	hsa05217	['Basal cell carcinoma']	5	2.32110000	1.10711942	0.07282927	0.21176443	0.94120438	0.97798022	0.42134190	0.99997000	['DVL2', 'LEF1', 'SUFU', 'WNT1', 'WNT10B']
0.1%	hsa00360	['Phenylalanine metabolism']	1	0.07526000	3.73197290	0.07298927	0.21176443	0.94120438	0.99774002	0.42134190	0.99997000	['ALDH3A1']
0.5%	hsa05134	['Legionellosis']	3	1.00215000	1.58186404	0.07427926	0.21291651	0.94120438	0.98418016	0.42134190	0.99997000	['IL12A', 'NFKB1', 'RELA']
0.5%	hsa00410	['beta-Alanine metabolism']	4	1.79085000	1.15935550	0.07517925	0.21308631	0.94120438	0.98388016	0.42134190	0.99997000	['ALDH2', 'ALDH3A1', 'ALDH3A2', 'HADHA']
0.5%	hsa04932	['Non-alcoholic fatty liver disease (NAFLD)']	8	4.53578000	0.81864933	0.07533925	0.21308631	0.94120438	0.96860031	0.42134190	0.99997000	['AKT2', 'NDUFA11', 'NDUFB10', 'NFKB1', 'PRKAA2', 'PRKAG1', 'RAC1', 'RELA']
0.05%	hsa03000	['Transcription factors']	8	4.44705000	0.84715137	0.07581924	0.21308631	0.94120438	0.96681033	0.42134190	0.99997000	['ATF7', 'CUX2', 'KMT2D', 'RAI1', 'REL', 'ZFHX3', 'ZNF689', 'ZNF764']
0.5%	hsa05132	['Salmonella infection']	13	8.54678000	0.60505873	0.07872921	0.21918837	0.96519484	0.95884041	0.42134190	0.99997000	['AKT2', 'CHUK', 'CYTH3', 'FLNC', 'KLC3', 'LEF1', 'MYH10', 'MYL9', 'NFKB1', 'RAC1', 'RELA', 'TAB2', 'VPS39']
0.05%	hsa05168	['Herpes simplex virus 1 infection']	3	0.97709000	1.61839914	0.07953920	0.21918837	0.96519484	0.98074019	0.42134190	0.99997000	['PPP1CC', 'ZNF689', 'ZNF764']
0.5%	hsa05130	['Pathogenic Escherichia coli infection']	13	8.60012000	0.59608293	0.08093919	0.21918837	0.97127029	0.95753042	0.42134190	0.99997000	['BAIAP2L1', 'CHUK', 'CYTH3', 'MYH10', 'NCK1', 'NFKB1', 'RAC1', 'RELA', 'TAB2', 'TMBIM6', 'TUBA1A', 'TUBA1B', 'WASF2']
0.5%	hsa04917	['Prolactin signaling pathway']	6	3.13908000	0.93462070	0.08350916	0.22579593	0.98920261	0.97024030	0.42134190	0.99997000	['AKT2', 'CYP17A1', 'NFKB1', 'RELA', 'SHC4', 'SRC']
0.5%	hsa01522	['Endocrine resistance']	9	5.54543000	0.69862567	0.08594914	0.22812725	0.98920261	0.96238038	0.42134190	0.99997000	['AKT2', 'CDK4', 'EGFR', 'ERBB2', 'NCOA3', 'RPS6KB1', 'SHC4', 'SP1', 'SRC']
0.05%	hsa03450	['Non-homologous end-joining']	1	0.08996000	3.47457253	0.08616914	0.22812725	0.98920261	0.99628004	0.42134190	0.99997000	['PRKDC']
0.5%	hsa05330	['Allograft rejection']	2	0.50046000	1.99867333	0.08739913	0.23108287	0.98920261	0.98724013	0.42134190	0.99997000	['CD28', 'IL12A']
0.1%	hsa03029	['Mitochondrial biogenesis']	6	3.12333000	0.94187749	0.08781912	0.23108287	0.98920261	0.96607034	0.42134190	0.99997000	['C12orf65', 'DARS2', 'ERAL1', 'MCU', 'MSS51', 'SP1']
0.05%	hsa04144	['Endocytosis']	4	1.69779000	1.23634198	0.08792912	0.23108287	0.98920261	0.97414026	0.42134190	0.99997000	['EPN2', 'VPS29', 'VPS35', 'VPS45']
0.05%	hsa04110	['Cell cycle']	2	0.51095000	1.96874597	0.09235908	0.23956244	1.00000000	0.98579014	0.42134190	0.99997000	['ANAPC7', 'PRKDC']
0.5%	hsa03040	['Spliceosome']	5	2.43761000	1.03646077	0.09677903	0.24910789	1.00000000	0.96553034	0.42134190	0.99997000	['DDX23', 'DHX38', 'SF3A3', 'SF3B4', 'SRSF7']
0.5%	hsa03010	['Ribosome']	3	1.09823000	1.44978227	0.09748903	0.24910789	1.00000000	0.97626024	0.42134190	0.99997000	['MRPS16', 'MRPS18A', 'RPL37']
