chr	start	end	gene
1	9327287	9358047	H6PD
1	9384368	9462944	SPSB1
1	9633193	9678726	SLC25A33
1	9760364	9838974	PIK3CD
1	9840417	9936887	CLSTN1
1	9964958	9987261	CTNNBIP1
1	10049166	10062417	LZIC
1	10095850	10103338	NMNAT1
1	10118986	10138285	RBP7
1	10155348	10307397	UBE4B
1	10329196	10428159	KIF1B
1	10519739	10540344	PGD
1	10550732	10563462	CENPS
1	10571022	10572815	CORT
1	10582675	10595144	DFFA
1	10597579	10757461	PEX14
1	10765649	10823185	CASZ1
1	11081161	11116924	C1orf127
1	11144924	11157855	TARDBP
1	11158885	11178561	MASP2
1	11186716	11192197	SRM
1	11198864	11235088	EXOSC10
1	11242102	11395486	MTOR
1	11326222	11332870	ANGPTL7
1	11410008	11432128	UBIAD1
1	11646164	11680234	DISP3
1	11792487	11798712	FBXO2
1	11798940	11806690	FBXO44
1	11808486	11820159	FBXO6
1	11820290	11826344	MAD2L2
1	11838822	11867746	DRAXIN
1	11914403	11938561	C1orf167
1	11935600	11954863	MTHFR
1	11955088	11987957	CLCN6
1	11994683	11996763	NPPA
1	12006902	12008371	NPPB
1	12056675	12064223	KIAA2013
1	12073311	12116359	PLOD1
1	12120161	12153177	MFN2
1	12159580	12172690	MIIP
1	12204494	12280442	TNFRSF8
1	12326710	12347285	TNFRSF1B
1	12368116	12654996	VPS13D
1	12714649	12763780	DHRS3
1	12791459	12813652	AADACL4
1	12862177	12874800	AADACL3
1	12892222	12909086	C1orf158
1	12922528	12925595	PRAMEF12
1	13043577	13044946	HNRNPCL1
1	13053261	13058128	PRAMEF2
1	13437917	13441493	PRAMEF19
1	13459827	13462807	PRAMEF17
1	13486856	13493490	PRAMEF20
1	13545908	13586391	LRRC38
1	13660278	13693998	PDPN
1	13846914	13898878	PRDM2
1	14697785	15223932	KAZN
1	15260311	15327641	TMEM51
1	15356038	15440207	FHAD1
1	15551195	15559433	CTRC
1	15570451	15584554	CELA2A
1	15604694	15636888	CASP9
1	15639343	15684219	DNAJC16
1	15685638	15698525	AGMAT
1	15733271	15770019	DDI2
1	15777978	15779834	RSC1A1
1	15804486	15855856	PLEKHM2
1	15857402	15862487	SLC25A34
1	15864056	15869197	TMEM82
1	15881031	15898108	FBLIM1
1	15970295	16061137	SPEN
1	16063567	16098836	ZBTB17
1	16129613	16132069	C1orf64
1	16139412	16144422	HSPB7
1	16147495	16159969	CLCNKA
1	16147517	16184939	CLCNKB
1	16185401	16201274	FAM131C
1	16328744	16343546	ARHGEF19
1	16361088	16366570	RSG1
1	16379474	16482748	FBXO42
1	16501176	16532674	SZRD1
1	16533295	16567197	SPATA21
1	16576515	16596486	NECAP2
1	16817405	16870427	CROCC
1	16872371	16875535	MFAP2
1	16883871	16903091	ATP13A2
1	16917392	16953479	SDHB
1	16967071	17022348	PADI2
1	17110402	17147247	PADI1
1	17152025	17186996	PADI3
1	17213708	17265705	PADI4
1	17309686	17332062	RCC2
1	17490118	17605642	ARHGEF10L
1	17732848	17736327	ACTL8
1	18025662	18305161	IGSF21
1	18413653	18418701	KLHDC7A
1	18570440	18678247	PAX7
1	18781347	18800290	TAS1R2
1	18813832	18845545	ALDH4A1
1	18847023	18901341	IFFO2
1	19020133	19160010	UBR4
1	19167860	19202537	EMC1
1	19202566	19211098	MRTO4
1	19254858	19263031	AKR7A2
1	19268919	19281094	PQLC2
1	19291625	19402527	CAPZB
1	19550601	19580231	MINOS1
1	19620287	19634903	HTR6
1	19637548	19770124	TMCO4
1	19784615	19785298	RNF186
1	19852427	19878317	OTUD3
1	19890672	19893982	PLA2G2E
1	19945660	19950665	PLA2G2A
1	20041702	20063863	PLA2G5
1	20083888	20091430	PLA2G2D
1	20111371	20122411	PLA2G2F
1	20136267	20149341	PLA2G2C
1	20158772	20168726	UBXN10
1	20264280	20314961	VWA5B1
1	20453264	20457093	CAMK2N1
1	20470564	20479296	MUL1
1	20523791	20526009	FAM43B
1	20564224	20594251	CDA
1	20609642	20628734	PINK1
1	20629088	20638697	DDOST
1	20641269	20694702	KIF17
1	20698647	20705188	SH2D5
1	20727380	20770229	HP1BP3
1	20792511	21162899	EIF4G3
1	21206517	21278984	ECE1
1	21434622	21472952	NBPF3
1	21547230	21571246	ALPL
1	21586036	21659340	RAP1GAP
1	21668296	21775741	USP48
1	21807392	21820688	LDLRAD2
1	21832249	21891353	HSPG2
1	21972437	22008070	CELA3A
1	22116275	22139176	WNT4
1	22449764	22529533	ZBTB40
1	22561409	22606350	EPHA8
1	22641932	22645508	C1QA
1	22649450	22654382	C1QC
1	22659886	22668493	C1QB
1	22787748	22919881	EPHB2
1	23035007	23087989	KDM1A
1	23093324	23176375	LUZP1
1	23200926	23202059	HTR1D
1	23326157	23360521	HNRNPR
1	23378659	23384686	ZNF436
1	23397600	23441394	TCEA3
1	23524159	23550027	E2F2
1	23575012	23576924	ID3
1	23646822	23657820	MDS2
1	23702792	23708262	RPL11
1	23760747	23772391	TCEB3
1	23794176	23803881	PITHD1
1	23811841	23817037	GALE
1	23818111	23844116	HMGCL
1	23866820	23887356	FUCA1
1	23893083	23934940	CNR2
1	23982677	23994761	PNRC2
1	24000358	24011721	SRSF10
1	24091985	24148125	MYOM3
1	24156190	24179105	IL22RA1
1	24193456	24224796	IFNLR1
1	24357994	24394987	GRHL3
1	24396708	24453485	STPG1
1	24455500	24509235	NIPAL3
1	24543136	24579390	RCAN3
1	24598017	24649450	NCMAP
1	24685248	24715402	SRRM1
1	24787564	24882962	CLIC4
1	24940181	25005748	RUNX3
1	25263651	25275691	SYF2
1	25285418	25290433	RSRP1
1	25319786	25379415	RHCE
1	25608933	25776392	MAN1C1
1	25792340	25810139	SELENON
1	25813027	25825163	MTFR1L
1	25824309	25851674	AUNIP
1	25853483	25895661	PAQR7
1	25879721	25899084	STMN1
1	25955519	25993278	PAFAH2
1	26019390	26036221	EXTL1
1	26037780	26045879	SLC30A2
1	26051642	26067321	TRIM63
1	26114114	26127841	PDIK1L
1	26164336	26165935	FAM110D
1	26173259	26174233	ZNF593
1	26195155	26207395	CATSPER4
1	26240319	26287442	CEP85
1	26290930	26316413	UBXN11
1	26326235	26329026	CD52
1	26330366	26351548	AIM1L
1	26370119	26381660	ZNF683
1	26422203	26438261	LIN28A
1	26444429	26482059	DHDDS
1	26556513	26585644	RPS6KA1
1	26703080	26792672	ARID1A
1	26865032	26866340	SFN
1	26880977	26891983	GPN2
1	26892094	26902094	GPATCH3
1	26913634	26916224	NR0B2
1	26924006	26949440	NUDC
1	26952606	26962811	KDF1
1	27008873	27017190	FAM46B
1	27259282	27307419	WDTC1
1	27321301	27334346	TMEM222
1	27342480	27355409	SYTL1
1	27357072	27369427	MAP3K6
1	27372051	27379242	FCN3
1	27384248	27388064	CD164L2
1	27398004	27401165	GPR3
1	27409613	27496884	WASF2
1	27541073	27610311	AHDC1
1	27618984	27633313	FGR
1	27672645	27678667	IFI6
1	27732615	27770975	FAM76A
1	27781808	27833481	STX12
1	27839379	27860346	PPP1R8
1	27878792	27894364	THEMIS2
1	27900026	27923536	RPA2
1	27943765	27970890	SMPDL3B
1	27971201	27980318	XKR8
1	27986674	28103293	EYA3
1	28164144	28191770	PTAFR
1	28218366	28251437	DNAJC8
1	28254508	28256522	ATPIF1
1	28278140	28301181	SESN2
1	28348827	28356128	MED18
1	28468111	28528983	PHACTR4
1	28537434	28571074	RCC1
1	28585457	28613137	TRNAU1AP
1	28628047	28630428	RAB42
1	28641305	28682336	TAF12
1	28712658	28759672	GMEB1
1	28782031	28815609	YTHDF2
1	28863576	28916004	OPRD1
1	28939474	29176501	EPB41
1	29177359	29178243	TMEM200B
1	29208263	29242018	SRSF4
1	29254106	29292282	MECR
1	29315479	29385880	PTPRU
1	30790713	30801289	MATN1
1	30813995	30839247	LAPTM5
1	30965189	30974771	SDC3
1	31031337	31170153	PUM1
1	31293962	31302381	NKAIN1
1	31373630	31409667	SNRNP40
1	31409865	31478105	ZCCHC17
1	31478425	31486238	FABP3
1	31524212	31549740	SERINC2
1	31696293	31707902	TINAGL1
1	31739630	31747427	HCRTR1
1	31750308	31765645	PEF1
1	31772808	31821688	COL16A1
1	31849479	31888393	ADGRB2
1	31915916	31942469	SPOCD1
1	32036531	32047723	PTP4A2
1	32145933	32175640	KHDRBS1
1	32205842	32236162	TMEM39B
1	32241360	32305444	KPNA6
1	32314303	32329928	TXLNA
1	32335569	32339973	CCDC28B
1	32340857	32343862	IQCC
1	32344269	32351678	DCDC2B
1	32349990	32358133	TMEM234
1	32358227	32366361	EIF3I
1	32382654	32384298	FAM167B
1	32410821	32421187	LCK
1	32471611	32472111	MARCKSL1
1	32501553	32503724	TSSK3
1	32504524	32533528	BSDC1
1	32637283	32662024	ZBTB8B
1	32741200	32781314	ZBTB8A
1	32862174	32885747	SYNC
1	32952877	32962528	KIAA1522
1	32962797	33003643	YARS
1	33003047	33044398	S100PBP
1	33049263	33056552	FNDC5
1	33071428	33081406	HPCA
1	33081404	33085078	TMEM54
1	33126050	33154375	RNF19B
1	33193502	33222414	AK2
1	33266347	33304674	AZIN2
1	33330536	33369211	TRIM62
1	33464147	33489292	ZNF362
1	33512035	33564096	PHC2
1	33663237	33686208	ZSCAN20
1	33704741	34351958	CSMD2
1	34365000	34405632	C1orf94
1	34939375	34942852	GJB5
1	34947882	34949031	GJB4
1	34975419	34978186	GJA4
1	35041682	35046408	SMIM12
1	35053421	35094553	DLGAP3
1	35172818	35176574	TMEM35B
1	35178250	35222961	ZMYM6
1	35274299	35312557	ZMYM1
1	35381087	35390657	SFPQ
1	35466014	35621520	ZMYM4
1	35633677	35757934	KIAA0319L
1	35758356	35766324	NCDN
1	35774512	35795745	TFAP2E
1	35804915	35843571	PSMB2
1	35915240	35921278	C1orf216
1	35938733	35972370	CLSPN
1	36014781	36056557	AGO4
1	36083957	36126715	AGO1
1	36133501	36260834	AGO3
1	36289138	36293308	TEKT2
1	36293890	36298947	ADPRHL2
1	36300260	36305266	COL8A2
1	36342207	36355067	TRAPPC3
1	36354718	36388939	MAP7D1
1	36438922	36520057	THRAP3
1	36521930	36540100	SH3D21
1	36537264	36539369	EVA1B
1	36556204	36576266	STK40
1	36609450	36613910	LSM10
1	36631621	36662991	OSCP1
1	36668639	36677377	MRPS15
1	36679285	36693140	CSF3R
1	37018231	37255261	GRIK3
1	37700670	37711305	ZC3H12A
1	37719474	37740958	MEAF6
1	37766875	37784624	SNIP1
1	37787243	37797790	DNALI1
1	37797748	37826931	GNL2
1	37842264	37864318	RSPO1
1	37913393	37923156	C1orf109
1	37925116	37942378	CDCA8
1	38028737	38036953	MANEAL
1	38038291	38043548	YRDC
1	38044922	38097477	MTF1
1	38099975	38182112	INPP5B
1	38192380	38225932	SF3A3
1	38233249	38242036	FHL3
1	38249383	38260464	UTP11
1	38282052	38442304	POU3F1
1	39074907	39095495	RRAGC
1	39098695	39109225	MYCBP
1	39109913	39117498	GJA9
1	39121911	39167332	RHBDL2
1	39278913	39286766	NDUFS5
1	39757867	39795189	BMP8A
1	39832881	39848904	PABPC4
1	39906433	39919609	HEYL
1	39939666	39952773	NT5C1A
1	39959597	39972092	HPCAL4
1	40023069	40040956	PPIE
1	40042442	40071655	BMP8B
1	40125823	40167935	TRIT1
1	40181349	40185630	MYCL
1	40238597	40254477	MFSD2A
1	40326600	40357995	CAP1
1	40358056	40382827	PPT1
1	40450259	40530348	RLF
1	40537331	40541174	TMCO2
1	40547576	40593963	ZMPSTE24
1	40666468	40715004	SMAP2
1	40746136	40759203	ZFP69B
1	40778408	40797172	ZFP69
1	40809902	40817740	EXO5
1	40834569	40849088	ZNF684
1	40924982	40971988	RIMS3
1	40996739	41077319	NFYC
1	41089744	41147154	KCNQ4
1	41168371	41168925	CITED4
1	41290719	41323939	CTPS1
1	41326987	41333122	SLFNL1
1	41338644	41467338	SCMH1
1	41795311	41801207	EDN2
1	41827690	42012524	HIVEP3
1	42463247	42465648	GUCA2B
1	42472538	42474597	GUCA2A
1	42488154	42650126	FOXJ3
1	42697035	42730649	RIMKLA
1	42745779	42772847	ZMYND12
1	42774003	42776635	PPCS
1	42852046	42975208	CCDC30
1	42978820	42997233	PPIH
1	43056408	43061904	CLDN19
1	43074624	43086809	P3H1
1	43087022	43095520	C1orf50
1	43126944	43136320	SVBP
1	43145088	43162724	ERMAP
1	43170908	43172433	ZNF691
1	43247510	43280625	SLC2A1
1	43468520	43476983	FAM183A
1	43485924	43492926	EBNA1BP2
1	43493684	43530518	CFAP57
1	43592214	43596231	TMEM125
1	43604999	43605484	C1orf210
1	43623582	43645675	TIE1
1	43674762	43678647	CDC20
1	43678698	43683516	ELOVL1
1	43699144	43704506	MED8
1	43766986	43769797	HYI
1	43850915	43939979	PTPRF
1	43969886	44022745	KDM4A
1	44054942	44250505	ST3GAL3
1	44253117	44257033	ARTN
1	44268095	44286892	IPO13
1	44296119	44300867	ATP6V0B
1	44302895	44314689	B4GALT2
1	44315401	44318109	CCDC24
1	44319698	44340504	SLC6A9
1	44442813	44458260	KLF17
1	44541361	44548671	DMAP1
1	44549063	44686940	ERI3
1	44758333	44989694	RNF220
1	44992474	45013364	TMEM53
1	45013659	45066923	C1orf228
1	45081823	45111030	KIF2C
1	45126839	45131011	BEST4
1	45144223	45148477	PLK3
1	45148722	45150096	TCTEX1D4
1	45151293	45156937	BTBD19
1	45168709	45185809	PTCH2
1	45193444	45334704	EIF2B3
1	45350585	45359656	HECTD3
1	45360532	45364071	UROD
1	45364804	45551055	ZSWIM5
1	45674384	45675881	HPDL
1	45676639	45689236	MUTYH
1	45688436	45692750	TOE1
1	45692655	45846010	TESK2
1	45851652	45854498	CCDC163
1	45854766	45866064	MMACHC
1	45866035	45876977	PRDX1
1	45907082	45925123	AKR1A1
1	45938743	45976506	NASP
1	45977651	45981658	CCDC17
1	45985081	46042084	GPBP1L1
1	46042686	46049916	TMEM69
1	46049806	46109533	IPP
1	46163612	46401009	MAST2
1	46406608	46501150	PIK3R3
1	46544230	46555138	TSPAN1
1	46557885	46567626	POMGNT1
1	46572561	46589571	LURAP1
1	46614288	46645007	RAD54L
1	46644935	46669926	LRRC41
1	46670215	46682980	UQCRH
1	46709410	46733493	NSUN4
1	46765345	46784851	FAAH
1	46878561	46886161	DMBX1
1	46917909	46924108	KNCN
1	46982483	46989900	MOB3C
1	47033793	47095481	EFCAB14
1	47196544	47204924	CYP4B1
1	47305084	47314112	CYP4A11
1	47396210	47423417	CYP4X1
1	47440129	47485675	CYP4Z1
1	47514703	47526122	CYP4A22
1	47560844	47565764	PDZK1IP1
1	47596489	47606094	TAL1
1	47628840	47693024	STIL
1	47714936	47747594	CMPK1
1	48586873	48612927	SLC5A9
1	48659183	48833439	SPATA6
1	49088902	49138936	BEND5
1	50469167	50566675	ELAVL4
1	50783309	50789202	DMRTA2
1	50806957	51329863	FAF1
1	51338320	51344258	CDKN2C
1	51473579	51519686	C1orf185
1	51611847	51646315	RNF11
1	51663214	51688028	TTC39A
1	51729695	51902075	EPS15
1	52008946	52180256	OSBPL9
1	52180958	52273623	NRDC
1	52315505	52375985	RAB3B
1	52417252	52453281	TXNDC12
1	52453295	52487528	BTF3L4
1	52619851	52753665	ZFYVE9
1	52757584	52771487	CC2D1B
1	52780120	52816776	ORC1
1	52816852	52830605	PRPF38A
1	52835552	52966056	ZCCHC11
1	53017258	53024435	GPX7
1	53049230	53073384	FAM159A
1	53112642	53124983	COA7
1	53153700	53260058	ZYG11B
1	53275080	53334948	ZYG11A
1	53336186	53363903	ECHDC2
1	53369694	53500876	SCP2
1	53511309	53695762	PODN
1	53537073	53591037	SLC1A7
1	53645213	53662952	CPT2
1	53662922	53669337	C1orf123
1	53675661	53687169	MAGOH
1	53694395	53777167	LRP8
1	53909577	53917683	DMRTB1
1	53958095	54194709	GLIS1
1	54227834	54299149	NDC1
1	54311822	54350970	YIPF1
1	54354586	54371539	DIO1
1	54382033	54407163	HSPB11
1	54408494	54431983	LRRC42
1	54438982	54453001	HNRNPA3
1	54486784	54496035	LDLRAD1
1	54509543	54531211	TMEM59
1	54532095	54577813	TCEANC2
1	54620969	54634356	CDCP2
1	54652616	54675978	CYB5RL
1	54680422	54698809	MRPL37
1	54709664	54888544	SSBP3
1	55033844	55121460	ACOT11
1	55093547	55108843	FAM151A
1	55140237	55202178	MROH7
1	55207785	55234102	TTC4
1	55248319	55255947	PARS2
1	55273080	55294266	TTC22
1	55299069	55335837	LEXM
1	55343161	55380739	DHCR24
1	55476691	55490099	TMEM61
1	55497215	55509450	BSND
1	55531596	55557438	PCSK9
1	55558961	55707345	USP24
1	57012014	57095862	PLPP3
1	57163168	57226008	PRKAA2
1	57238317	57341285	C1orf168
1	57376328	57443721	C8A
1	57459417	57498056	C8B
1	57530686	57827326	DAB1
1	59106889	59107863	TACSTD2
1	59191313	59232512	MYSM1
1	59318744	59319727	JUN
1	59845414	60310153	FGGY
1	60362299	60423785	HOOK1
1	60440679	60475127	CYP2J2
1	60538935	60621699	C1orf87
1	61631374	62017354	NFIA
1	62240552	62285142	TM2D1
1	62302509	62731853	PATJ
1	62778278	62783026	L1TD1
1	62808144	62898070	KANK4
1	63016886	63031994	USP1
1	63034935	63270215	DOCK7
1	63178471	63186467	ANGPTL3
1	63367862	63452582	ATG4C
1	63909414	63911487	FOXD3
1	63954241	64025891	ALG6
1	64028088	64110745	ITGB3BP
1	64110813	64161186	EFCAB7
1	64212030	64249229	PGM1
1	64364135	64773828	ROR1
1	64796861	64860489	UBE2U
1	65060932	65282829	CACHD1
1	65334548	65421795	RAVER2
1	65424691	65476879	JAK1
1	65739794	65820455	AK4
1	65902282	66011772	DNAJC6
1	66016590	66028835	LEPROT
1	66122500	66227285	LEPR
1	66852945	66981120	PDE4B
1	67145465	67361524	SGIP1
1	67365663	67394789	TCTEX1D1
1	67416513	67420001	INSL5
1	67544040	67608275	MIER1
1	67623653	67674786	SLC35D1
1	67707751	67741965	C1orf141
1	67781926	67875628	IL23R
1	67922972	68012070	IL12RB2
1	68026182	68045653	SERBP1
1	68309507	68312771	GADD45A
1	68328750	68457579	GNG12
1	68671428	68676238	DIRAS3
1	68751090	68820425	WLS
1	69053237	69072366	RPE65
1	69099757	69119974	DEPDC1
1	70396406	70763812	LRRC7
1	70784804	70845954	LRRC40
1	70845958	70891636	SRSF11
1	70899839	70996429	ANKRD13C
1	70996647	71009476	HHLA3
1	71049751	71078247	CTH
1	71488698	71673833	PTGER3
1	71689290	71707260	ZRANB2
1	72035769	72917928	NEGR1
1	74692862	74866918	LRRIQ3
1	74866943	74874627	FPGT
1	74904713	75211052	TNNI3K
1	75139431	75150677	LRRC53
1	75234730	75341282	ERICH3
1	75373452	75401276	CRYZ
1	75401024	75433119	TYW3
1	75792332	75826087	LHX8
1	75868284	76062393	SLC44A5
1	76385311	76425654	ACADM
1	76448207	76457081	RABGGTB
1	76458869	76575588	MSH4
1	76581223	76595168	ASB17
1	76978759	77239698	ST6GALNAC3
1	77530770	77728948	ST6GALNAC5
1	77753958	77887429	PIGK
1	77953054	78235268	AK5
1	78239807	78359357	ZZZ3
1	78373072	78442697	USP33
1	78462531	78557530	MIGA1
1	78567584	78626771	NEXN
1	78630795	78662329	FUBP1
1	78689084	78702509	DNAJB4
1	78731265	78824044	GIPC2
1	79188421	79238530	PTGFR
1	79305543	79331717	IFI44L
1	79339358	79353653	IFI44
1	79572641	79691104	ADGRL4
1	81994986	82697375	ADGRL2
1	84603346	84736807	TTLL7
1	84867406	84962665	PRKACB
1	85023634	85074777	SAMD13
1	85122571	85138984	DNASE2B
1	85205895	85225000	RPF1
1	85224982	85232958	GNG5
1	85281473	85301058	CTBS
1	85372997	85400687	SSX2IP
1	85542736	85595591	LPAR3
1	85654414	85732659	MCOLN2
1	85753605	85780852	MCOLN3
1	85799480	85872577	WDR63
1	85897651	85942661	SYDE2
1	85994169	86001206	C1orf52
1	86006639	86017852	BCL10
1	86060693	86208046	DDAH1
1	86329184	86332384	CYR61
1	86405002	86459999	ZNHIT6
1	87073426	87131811	ODF2L
1	87162743	87197278	CLCA2
1	87211231	87242682	CLCA1
1	87289603	87322921	CLCA4
1	87436325	87476399	SH3GLB1
1	87597720	87647660	SELENOF
1	88067942	88085090	LMO4
1	89476108	89630804	PKN2
1	89647501	89686127	GTF2B
1	89732031	89789969	KYAT3
1	89802708	89818825	GBP3
1	89849552	89862586	GBP1
1	89904571	89923178	GBP2
1	89929470	89973552	GBP7
1	89982480	89996133	GBP4
1	90058152	90068298	GBP5
1	90129309	90153629	GBP6
1	90322787	90348707	LRRC8B
1	90443745	90594393	LRRC8C
1	90683910	90686483	LRRC8D
1	90747039	90780489	ZNF326
1	91473134	91478075	BARHL2
1	91672194	91788888	ZNF644
1	92027226	92162410	HFM1
1	92437201	92647644	TGFBR3
1	92712770	92779253	BRDT
1	92796579	92832800	EPHX4
1	92849605	92916001	BTBD8
1	92934484	92952048	KIAA1107
1	92985019	93014028	C1orf146
1	93014618	93069348	GLMN
1	93069304	93158746	RPAP2
1	93246755	93254245	GFI1
1	93284345	93563118	EVI5
1	93602818	93612709	RPL5
1	93612946	93739023	FAM69A
1	93849216	93910133	MTF2
1	93920625	93951938	TMED5
1	93951780	94049700	CCDC18
1	94119837	94136502	DR1
1	94221485	94329479	FNBP1L
1	94336638	94456625	BCAR3
1	94628757	94641008	DNTTIP2
1	94648869	94671294	GCLM
1	94755607	94885143	ABCA4
1	94936974	95001599	ARHGAP29
1	95184138	95282923	ABCD3
1	95296953	95309651	F3
1	95593560	95669256	SLC44A3
1	95670973	95701714	CNN3
1	95758257	95850666	ALG14
1	95895721	95968644	TMEM56
1	96010972	96025554	RWDD3
1	97517058	97608861	PTBP2
1	97874616	98726546	DPYD
1	99470839	99573425	SNX7
1	99698331	99813899	PLPPR5
1	100078253	100123546	PLPPR4
1	100463319	100511741	PALMD
1	100525923	100585404	FRRS1
1	100670649	100752489	AGL
1	100798067	100852562	SLC35A3
1	100867623	100912052	MFSD14A
1	100912877	100961962	SASS6
1	100962157	100979492	TRMT13
1	100977941	101007246	LRRC39
1	101023700	101078239	DBT
1	101094560	101119999	RTCA
1	101181143	101330253	CDC14A
1	101369460	101370758	GPR88
1	101551131	101568287	VCAM1
1	101704273	101728698	EXTL2
1	101728950	101808340	SLC30A7
1	101822966	101859294	DPH5
1	102074614	102079900	S1PR1
1	102647787	102692033	OLFM3
1	103756509	103990040	COL11A1
1	104538173	104567486	RNPC3
1	104566954	104679443	AMY2B
1	107927338	107928762	PRMT6
1	108011127	108355778	NTNG1
1	108445379	108849933	VAV3
1	109021590	109086023	SLC25A24
1	109107181	109127631	NBPF6
1	109286971	109364671	FAM102B
1	109373902	109386138	HENMT1
1	109415195	109424678	PRPF38B
1	109436050	109465836	FNDC7
1	109469734	109537109	STXBP3
1	109543530	109585902	AKNAD1
1	109607811	109663511	GPSM2
1	109664885	109696318	CLCC1
1	109703051	109775327	WDR47
1	109796990	109808376	TAF13
1	109822701	109827513	TMEM167B
1	109914211	109932402	KIAA1324
1	109943115	109968116	SARS
1	109979372	110004670	CELSR2
1	110010181	110013794	PSRC1
1	110022723	110039458	MYBPHL
1	110046464	110138315	SORT1
1	110222591	110235584	SYPL2
1	110240298	110248775	ATXN7L2
1	110250064	110256430	CYB561D1
1	110263000	110265889	AMIGO1
1	110298078	110304023	GPR61
1	110306748	110353820	GNAI3
1	110361268	110371090	GNAT2
1	110378656	110389715	AMPD2
1	110414479	110420094	GSTM4
1	110447919	110448374	SNX24
1	110985906	111014386	ZDHHC11B
1	111328496	111334953	GJA8
1	111481488	111482564	GJA5
1	111571987	111597858	ACP6
1	111620286	111633463	BCL9
1	111967083	112020865	CHD1L
1	112039116	112078991	FMO5
1	112092817	112106463	PRKAB2
1	112381814	112383429	KLF5
1	112666556	112729342	GPR89A
1	112729550	112763464	PDZK1
1	112784917	112794883	CD160
1	112803443	112882520	RNF115
1	112883366	112901957	POLR3C
1	112905097	112908427	NUDT17
1	112908947	112918641	PIAS3
1	112928697	112948277	ANKRD35
1	112953710	112972374	ITGA10
1	112973633	112981233	PEX11B
1	112986100	112989980	RBM8A
1	112998586	113020620	LIX1L
1	113022887	113024708	ANKRD34A
1	113027648	113040126	POLR3GL
1	113493724	113644139	PDE4DIP
1	113665246	113684348	NBPF11
1	116598798	116830366	NOTCH2NL
1	116781176	116783629	ADAM30
1	116889505	116907061	REG4
1	116934133	116955011	HMGCS2
1	116958786	116991195	PHGDH
1	117054849	117083236	ZNF697
1	117195957	117203735	HSD3B1
1	117292154	117300039	HSD3B2
1	117321572	117347564	HAO2
1	117569153	117681775	WARS2
1	117728068	117832155	TBX15
1	118523178	118757227	SPAG17
1	118751287	118781166	WDR3
1	118781207	118839954	GDAP2
1	119080739	119102665	FAM46C
1	119187752	119345564	MAN1A2
1	119505736	119578494	VTCN1
1	119600306	119609825	TRIM45
1	119619418	119662156	TTF2
1	119690541	119723608	CD101
1	119734176	119814820	PTGFRN
1	119967700	119982476	CD2
1	120066860	120162892	IGSF3
1	120166162	120223156	CD58
1	120336386	120357746	ATP1A1
1	120609375	120632920	MAB21L3
1	120675223	120771686	SLC22A15
1	120904559	120909288	NHLH2
1	120976835	121048118	CASQ2
1	121049901	121097985	VANGL1
1	121413151	121466697	NGF
1	121665692	121707211	TSPAN2
1	121722016	121726215	TSHB
1	121761247	121904030	SYCP1
